n,k,total_return,annual_return,annual_vol,sharpe,sortino,calmar,max_drawdown,win_rate,var_95,cvar_95,capm_beta,capm_alpha_annual,tracking_error,information_ratio,excess_annual
20,5,1.0596584198349417,0.5460072304660462,0.19658848382100946,2.777411942344788,4.0234034262857845,5.258278519262912,-0.10383762972673394,0.5610619469026549,-0.013429929688572883,-0.024888580889794332,0.9443859037498924,0.30622563305579686,0.09655167364648579,2.665357583358115,0.35041176401007146
10,5,0.7396993928921272,0.5818701845387002,0.2164712565759386,2.6879788423771194,4.0620191846808975,3.7340491887879588,-0.15582819555386695,0.5575221238938053,-0.016530919820070263,-0.027305751910497403,0.9775621728699531,0.3286550653924738,0.12387781490020615,2.262855921873815,0.3862747180827255
15,5,0.8996002081110963,0.5404145358269339,0.20207204009365853,2.67436558186279,3.9770575437369327,3.8651807805788625,-0.13981609861316546,0.5469026548672566,-0.014715880528092383,-0.025748723732500242,0.9448145784357992,0.30139759848754055,0.10714483221194425,2.367957657728116,0.3448190693709592
15,3,0.926517762947543,0.4731193937139855,0.19835122466425148,2.3852606439018804,3.462947332898494,3.760026692987036,-0.125828722704589,0.5610619469026549,-0.015108013525605202,-0.025247737925885052,0.9330312611713122,0.24712814645737136,0.10376747705280467,2.0138523145960026,0.2775239272580108
10,3,0.7366162805873655,0.46364771356225365,0.20936690699951835,2.214522333360434,3.439744248599805,3.434327433365034,-0.13500392382932647,0.5415929203539823,-0.01588264014571905,-0.025595892734568696,0.9457456615308651,0.23629436052643538,0.1200831616635618,1.6864321220228757,0.26805224710627895
20,3,0.8325930722662491,0.4119704174253671,0.1917158424979975,2.14885942950216,3.054755673089897,3.3253839061126396,-0.12388656341731075,0.5592920353982301,-0.01414542905986309,-0.02446147728839825,0.9293337175586063,0.19611607730148584,0.09177932397569491,1.814294513072881,0.2163749509693924
10,2,0.7934502558981489,0.4276477031419603,0.20138584343393448,2.123524050224571,3.227374513534445,3.870513870824034,-0.11048860143879946,0.5433628318584071,-0.016788060590624806,-0.02558886548825379,0.9027924000748604,0.2151511010378302,0.11822092205333573,1.5020356114111677,0.23205223668598562
20,2,0.768058854226686,0.36052974275677285,0.1790444172151298,2.0136328640018517,2.818285283919313,2.9198738000494537,-0.12347441644633017,0.5345132743362832,-0.012961531244218349,-0.023340126274731653,0.8724320082916909,0.1642837108205546,0.08648872220633208,1.4956236124863214,0.16493427630079815
15,2,0.7435580010614149,0.3704052817186134,0.18399627904080418,2.0131127842283276,2.8032574737191336,2.9442916355001882,-0.12580453913247325,0.5469026548672566,-0.013660826347768306,-0.024160844273865223,0.8657404936160181,0.17414236298119357,0.09858801236485862,1.3855224359687863,0.17480981526263872
10,1,0.7312089738238379,0.3493849843648751,0.1854882045437094,1.8835966760709975,2.649330026160628,2.9149568390397027,-0.11985939226819131,0.5451327433628319,-0.015242559462785719,-0.02467844465040955,0.8351420229720566,0.16245699949560355,0.11086035120773302,1.0925406427779838,0.15378951790890039
5,3,0.17153315979581785,0.37703597165384584,0.21623015459901018,1.7436788819591538,2.691999867811621,1.6694932870569936,-0.22583855705317468,0.5433628318584071,-0.018519720062613487,-0.027665799483656883,0.8698325881945186,0.17896501664565245,0.14950053491253676,0.9460087457160908,0.18144050519787114
5,2,0.37519562316476684,0.37171574253062056,0.21655870989744985,1.716466290097413,2.714264512268795,2.5036686421472996,-0.1484684160021783,0.5415929203539823,-0.017736000195145606,-0.027618020901392246,0.8461838002862089,0.17937782560626525,0.15509086641888573,0.8869181651909447,0.17612027607464587
20,1,0.6726967035191054,0.3020240530385925,0.17684044864275206,1.7078900120290497,2.417567195489454,2.4585074566955374,-0.12284853057125411,0.5185840707964602,-0.013194489292800426,-0.023143429341244286,0.8682951542475482,0.11501039054236517,0.08348011118911348,1.0224059444996898,0.10642858658261778
5,1,0.6841654882522752,0.40078493764154866,0.24306788814921035,1.6488600127505184,2.479873529148527,2.781457435427058,-0.1440916926220871,0.5203539823008849,-0.01934388056397438,-0.030001607113357247,1.0240710160057616,0.16672615554574954,0.15652095950522948,1.0129667213268871,0.20518947118557396
5,5,-0.011756574472986725,0.38679143672805716,0.2475811905922858,1.5622811255569495,2.3603281312636843,1.1587870260067283,-0.3337899169212316,0.5309734513274337,-0.020295121148228644,-0.03170066230512898,1.0256348962137354,0.1547398435862941,0.163125898519394,0.9103232518408404,0.19119597027208246
15,1,0.5547095942512188,0.26891864444036684,0.1800442607628749,1.493625113984009,2.0110326819244415,1.9413145228821136,-0.1385239856074325,0.5504424778761062,-0.013910960219800471,-0.024105513115124457,0.8525292377384399,0.08970767929057555,0.09566977351588954,0.6226622372191823,0.07332317798439214
